Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.622920649,4.18200163,-0.944953481,1.110504599,7.293728071,-0.383137672,1.127411464,3.089544385,1.835755172,-11.67774137,-2.733456793,3.369237184,-1.040799884,6.431482604,-1.586575138,-0.623625902,1.71962498,7.048533386,2.397085276,-2.232440392,-26.21182078,24.13262736,8.517918105,4.263719415
Africa Eastern and Southern,AFE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.214946099,3.505726469,3.836077993,2.956241262,5.555396855,6.163380043,6.577873718,6.647020995,4.368186685,0.870983964,5.231635802,4.064941366,1.746871185,4.341457845,3.992862552,3.004936899,2.194760891,2.684543054,2.666631828,2.194318527,-2.864292511,4.576392802,3.553878364,2.320137802
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-9.43197407,28.60000117,8.832277803,1.414117993,11.22971483,5.357403247,13.82631955,3.92498382,21.39052839,14.36244147,0.426354777,12.75228709,5.600744659,2.724543362,1.451314661,2.260314203,2.647003203,1.189228129,3.911603416,-2.351100672,-20.73883937,-6.240171992,2.710886791
Africa Western and Central,AFW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.868479413,5.172056042,9.974801834,5.545940594,7.987541626,5.823984126,5.371145727,5.530762586,6.278629231,6.271878282,6.96952404,4.853027842,5.168218837,6.160028843,5.920022961,2.720364536,0.160782097,2.28981038,2.844755417,3.232902512,-1.00399404,4.037629514,3.789679846,3.354732819
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.054624234,4.205998556,13.66568876,2.99,10.95000001,15.02999999,11.55,14.01000001,11.16999999,0.860000002,4.398375938,3.472053148,8.542107076,4.954613031,4.82255927,0.943571561,-2.580049644,-0.147212941,-1.316361689,-0.702272958,-5.638214717,1.199210521,3.044726524,1.00128936
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.946216592,8.293312631,4.53652416,5.528637465,5.514667911,5.526424247,5.902659036,5.983259519,7.50004143,3.35428935,3.706938153,2.545406145,1.4172428,1.002017541,1.774448853,2.218726375,3.314980684,3.80259872,4.019345617,2.06256754,-3.313716147,8.969553392,4.826688314,3.936625257
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.528362361,8.119357722,4.546362214,8.694203716,8.135676338,5.397795985,4.808688699,1.553188141,-5.559186369,-5.302846543,-1.974958,-0.008069753,-4.974443719,-3.547596515,2.504465521,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,-11.18393994,8.28677879,9.564612256,2.58355481
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.354123171,2.103103222,1.22934164,4.28125391,9.076592829,5.569287093,6.295488541,4.609900391,5.565642708,0.649051133,4.836465321,3.569351213,5.002705661,2.550328132,2.522351465,3.243988903,3.614306799,1.537753314,2.630040035,1.583714664,-4.711784243,4.031106353,5.721433109,1.020751343
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.85270422,1.399085037,2.433456811,8.800540814,9.566436638,4.855141196,9.837319769,3.184390173,3.191836273,-5.242921904,1.602850048,6.216121813,1.824480789,5.055559654,4.165691843,6.786772879,5.561490755,0.735068713,1.313913881,1.108348139,-4.957052437,4.354755299,7.509697032,3.618706535
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.788998939,-4.408839683,-10.89448483,8.837040796,9.029573301,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003,-9.900484814,10.44181199,5.269879674,-1.611001621
